SSOC5dCode,count
25121,28534
12211,20825
34341,19954
12212,16954
21494,14972
12241,14288
33222,13559
24213,13532
12222,13427
12111,13260
14121,11537
13230,11153
21499,10005
33221,9854
33492,9206
24314,8554
24111,8483
53120,8449
33491,8302
51201,8223
21212,7994
42245,7493
83229,6665
22200,6447
13304,6343
21511,6287
24131,6124
24334,5643
21415,5567
21441,5491
34321,5321
33131,5197
42243,5156
51312,5147
14201,5089
13241,5007
42241,4391
83321,4324
24231,4274
24232,3971
25113,3875
24112,3775
21661,3732
24212,3703
32200,3594
36100,3534
25291,3520
21512,3444
24331,3431
11203,3348
12113,3163
94101,3094
12213,3067
24132,2965
21442,2924
13210,2887
31124,2824
21670,2730
24332,2663
21222,2655
51421,2654
52421,2609
34342,2499
21498,2462
83311,2444
41201,2426
24121,2412
91153,2407
12112,2376
13461,2348
25122,2300
13463,2279
71151,2242
21421,2226
21411,2195
32551,2194
33224,2183
33461,2164
51322,2135
34343,2063
33225,2024
12242,2002
32130,1966
53203,1906
52201,1900
21526,1861
13292,1842
21412,1830
31174,1790
12191,1786
24133,1760
12121,1737
14391,1735
83322,1724
33231,1714
31002,1699
24113,1691
35122,1665
33232,1656
25231,1647
51321,1646
54141,1625
24233,1624
13302,1618
21493,1616
93334,1586
22640,1584
41320,1536
31175,1533
12194,1517
52302,1517
25140,1511
43212,1497
12215,1462
12123,1460
25211,1456
21522,1452
21610,1433
33132,1414
12133,1404
75121,1396
26414,1359
81830,1349
52202,1297
25111,1290
14123,1283
21130,1270
42242,1244
26351,1233
35121,1228
21414,1217
51411,1203
31601,1184
21525,1162
40000,1137
31164,1114
13301,1104
31131,1094
23101,1094
31173,1088
51501,1079
36201,1067
31151,1029
31001,1025
52440,1005
32120,993
43211,993
74110,946
13451,945
21632,942
34110,918
35212,917
26413,916
22680,912
25241,907
21521,905
51202,895
53201,862
32111,851
22621,831
25151,828
33133,815
44170,806
25112,803
12132,799
74002,790
26353,789
24134,786
31172,784
43115,772
13303,771
51422,770
44123,749
21663,747
14122,742
14110,739
21651,737
34323,721
41109,715
33462,711
25123,703
34122,701
33320,695
12221,685
12131,674
33394,668
21714,666
22662,655
23500,642
21495,637
36991,636
24151,636
22670,633
13493,621
71000,610
31171,608
54144,608
31593,604
21422,600
51491,594
13441,594
25299,579
91000,573
31412,558
22500,557
51701,550
25243,547
31006,545
21473,537
35123,533
34223,530
14310,506
24211,496
51313,490
51419,487
53113,481
24311,479
13420,478
23103,466
91122,463
21492,462
42247,461
22150,457
51311,456
31211,454
13242,452
53202,447
53115,443
25212,436
53111,430
42111,425
31540,420
26544,416
21213,415
21664,407
96293,403
13462,403
31009,401
31719,400
21631,392
31132,391
21319,389
33340,384
31183,384
24240,383
31004,382
25232,382
31122,381
59000,379
34221,372
54143,365
96272,362
14324,360
24315,359
54110,359
71220,358
32400,356
42244,355
22699,352
12230,351
21659,345
12193,339
21311,338
51941,338
31212,330
96253,327
21346,320
32591,320
24352,319
31594,316
91220,314
23612,314
32540,301
13499,292
75320,289
34310,288
33152,287
21621,284
83224,284
12214,282
24312,279
26421,272
21451,267
83223,265
24320,265
24313,265
43231,262
26549,262
51412,261
X5000,251
42246,249
14392,248
53209,243
32143,242
33312,241
36204,241
21474,240
24141,238
26310,233
26343,233
21329,232
21641,231
33211,229
21239,229
33493,228
31592,226
21531,224
21339,224
31144,218
21430,217
54142,217
31299,214
21496,213
26112,210
33229,208
12122,208
31711,207
21141,204
22691,201
22651,201
71261,199
26511,197
51503,197
51111,196
52491,196
31189,193
12195,192
31294,189
22692,189
24160,183
21343,181
91161,181
34123,179
91121,177
11202,176
13442,176
83323,175
26524,172
54150,172
93201,170
36910,167
71322,167
25244,167
91152,166
32572,164
26341,164
21413,163
14202,158
34222,157
96271,156
75410,155
22652,155
26374,154
24139,152
22632,152
51504,151
83222,150
24143,148
54123,148
14321,145
35140,145
72310,142
21711,142
26431,142
43222,142
43119,141
13410,141
51112,140
21712,138
72130,138
96256,138
81841,136
21472,135
36205,133
43121,133
35110,131
26221,131
42230,128
11121,128
21231,127
26349,125
71230,120
31121,119
21454,119
31005,119
21347,117
22611,117
96211,115
24361,114
22629,113
25152,113
81821,111
31152,110
43123,109
31112,109
21342,109
51950,108
21221,108
22661,108
43111,107
61131,105
21662,105
21443,103
21321,101
31153,100
51932,100
25190,97
31291,96
26352,94
73220,93
21471,92
31295,92
25245,91
83499,90
96262,90
31141,89
31111,89
21652,88
22301,87
74001,86
72391,86
11110,86
35215,86
52422,85
21622,85
72221,84
52303,84
83423,82
34210,80
94102,78
34121,77
51505,76
31522,75
33223,73
13492,73
24333,72
31574,71
42119,71
36206,71
21344,70
31181,70
82190,69
14322,68
24234,67
24154,67
74122,66
75440,66
12192,66
13245,66
51132,65
13244,65
83431,64
75310,63
52419,63
33129,61
22110,61
21513,59
43113,59
96259,59
34331,59
22302,59
33299,58
93336,58
43221,58
26432,57
31161,57
26543,55
11201,55
51390,53
96252,53
21444,52
26212,52
31510,52
35129,52
26369,52
26342,52
43151,51
43112,51
25220,50
31529,50
33611,50
31184,49
26375,49
96251,48
24122,48
26422,48
33510,48
24152,47
51502,46
71262,46
71152,46
93337,46
21721,45
74121,45
94104,45
41101,44
52492,43
14329,43
33313,43
21722,42
83110,42
93335,42
36999,41
21142,40
21491,40
12199,40
21475,40
81602,40
26361,40
72399,40
81259,39
54193,39
22143,38
24220,38
24153,38
13100,38
31572,38
54192,38
21669,37
21110,37
71130,36
22146,36
92142,36
24353,36
26529,35
36209,35
31411,35
21532,34
83449,33
51423,33
34229,32
31579,32
31419,32
31596,31
82131,31
32530,31
72392,31
51131,31
34399,31
91131,31
92149,30
72350,30
81420,30
91132,29
32119,29
36203,29
33599,29
83226,28
31185,28
51943,28
91299,27
31423,27
42141,26
22693,26
26541,26
92190,26
71290,26
93339,26
32510,25
21120,25
75490,25
34322,25
72222,24
32141,24
26523,24
22131,24
32112,23
25249,23
21497,23
31003,23
43233,22
21331,22
26111,22
83211,22
51944,21
75150,21
62220,21
51492,20
75340,20
75390,20
93331,20
83432,20
43116,19
23400,19
26550,19
42249,18
43129,17
81252,17
73000,17
13430,17
96112,17
13459,17
31595,16
24339,16
74131,16
31560,16
22694,16
71272,16
43239,15
31325,15
96254,15
21211,15
21524,15
26213,15
96257,15
14325,15
71331,14
31182,14
93332,14
96291,14
75210,13
81501,13
31214,13
42290,13
21345,13
54191,13
25239,12
44199,12
31293,12
83421,12
83329,12
72120,11
31350,11
31720,11
74132,11
31292,11
96255,11
24135,11
51991,10
26322,10
73112,10
53112,10
24362,10
26519,10
32599,10
22145,10
35231,10
25242,10
34401,9
91300,9
83324,9
75363,9
91292,9
22631,9
22128,9
39910,9
91133,9
83221,8
22122,8
91162,8
54130,8
96213,8
23611,8
31213,8
33392,8
31143,8
31603,7
43232,7
22121,7
31399,7
43142,7
51949,7
26371,7
14399,7
75122,7
82139,7
43122,6
35219,6
43219,6
74222,6
51702,6
81000,5
82132,5
22125,5
33151,5
61210,5
26412,5
83129,5
44191,5
23200,5
31602,5
43141,5
23619,5
72240,5
71250,5
83441,5
31322,5
61900,5
23690,4
26415,4
23300,4
26229,4
71311,4
61133,4
13243,4
31597,4
42113,4
73160,4
74221,4
75110,4
21724,4
31521,4
26191,3
13291,3
54194,3
31571,3
33499,3
31392,3
81312,3
22147,3
22137,3
82122,3
82121,3
36202,3
31142,3
54121,2
81829,2
21341,2
31323,2
91230,2
26419,2
51509,2
32300,2
51330,2
14330,2
33393,2
14323,2
24351,2
21523,2
35220,2
93333,2
91151,2
54199,2
83424,2
26373,2
81251,2
73130,2
72340,2
72330,2
75362,2
82123,2
75361,2
81842,2
83492,2
42210,1
96261,1
81603,1
81410,1
43114,1
24142,1
24291,1
22123,1
81700,1
21452,1
33619,1
33593,1
33592,1
22142,1
26530,1
33591,1
75220,1
54122,1
71120,1
71191,1
83439,1
71271,1
53114,1
71329,1
71332,1
72000,1
51931,1
72320,1
32142,1
22612,1
26542,1
11122,1
74224,1
61221,1
41202,1
